Product_ID,Brand,Price,Quantity (L),Consume_Region,Packaging_Type,Water_Type,pH_Level,TDS (ppm),Source,Retailer_Type,Sales_Channel,Temperature_Storage (°C),Consumer_Age_Group,Annual_Sales
PW1000,Fiji,1.45,0.93,Europe,Bottle,Purified,8.46,88,Filtered,Convenience Store,Online,4.8,Teenagers,721
PW1001,Nestle Pure Life,1.79,1.97,Africa,Pouch,Purified,6.59,246,Rainwater,Wholesale,Offline,8.9,Elderly,49650
PW1002,Perrier,3.88,1.21,Australia,Can,Spring,8.2,483,Rainwater,Online,Online,9.8,Children,47078
PW1003,Smartwater,4.56,1.48,North America,Bottle,Distilled,6.95,184,Municipal,Pharmacy,Offline,21.3,Elderly,27270
PW1004,Aquafina,2.5,0.59,Asia,Bottle,Spring,7.16,418,Rainwater,Supermarket,Online,13,Elderly,28087
PW1005,San Pellegrino,1.77,1.95,North America,Bottle,Purified,6.16,298,Well,Pharmacy,Offline,11,Elderly,21943
PW1006,Perrier,2.66,0.44,Europe,Pouch,Alkaline,7.54,76,Well,Pharmacy,Online,5.5,Elderly,25834
PW1007,Smartwater,4.26,0.89,Europe,Bottle,Spring,6.51,215,Natural Spring,Convenience Store,Online,18,Elderly,41231
PW1008,Dasani,2.77,0.4,Europe,Bottle,Alkaline,7.9,480,Municipal,Online,Offline,13,Elderly,13741
PW1009,Smartwater,3.38,0.95,South America,Can,Mineral,6.75,199,Well,Pharmacy,Online,15.1,Teenagers,9984
PW1010,Nestle Pure Life,2,0.63,Europe,Box,Distilled,8.66,181,Filtered,Convenience Store,Online,7.7,Elderly,45091
PW1011,Voss,2.58,1.34,Australia,Can,Alkaline,7.06,286,Rainwater,Convenience Store,Online,6.7,Elderly,41561
PW1012,Perrier,2.93,1.72,South America,Can,Alkaline,8.51,352,Filtered,Pharmacy,Offline,17.9,Children,11162
PW1013,Smartwater,1.35,1.69,Australia,Box,Distilled,8.8,239,Natural Spring,Convenience Store,Online,16.7,Adults,10918
PW1014,Dasani,3.44,0.46,Australia,Box,Spring,6.53,302,Filtered,Online,Offline,10,Teenagers,9137
PW1015,Evian,3.88,1.83,North America,Can,Sparkling,6.91,239,Natural Spring,Pharmacy,Online,4.3,Children,9886
PW1016,Fiji,4.68,0.49,Africa,Bottle,Sparkling,7.68,225,Municipal,Wholesale,Online,17.3,Elderly,12641
PW1017,Evian,4.95,0.62,Africa,Pouch,Sparkling,8.1,449,Municipal,Convenience Store,Online,10.3,Elderly,13808
PW1018,Dasani,2.99,1.76,Asia,Pouch,Distilled,8.13,288,Municipal,Convenience Store,Offline,20.1,Elderly,13950
PW1019,San Pellegrino,2.06,1.11,Asia,Can,Sparkling,8.09,84,Municipal,Online,Online,7.1,Children,38769
PW1020,Fiji,1.25,0.69,Australia,Pouch,Alkaline,7.64,227,Filtered,Pharmacy,Offline,19.9,Children,19907
PW1021,Smartwater,2.15,1.22,South America,Pouch,Alkaline,8.07,276,Natural Spring,Wholesale,Online,22.7,Adults,42705
PW1022,Perrier,1.44,0.64,North America,Can,Purified,7.35,457,Filtered,Supermarket,Online,22.1,Children,7607
PW1023,Perrier,2.05,1.76,Africa,Pouch,Mineral,7.46,153,Municipal,Pharmacy,Offline,12.7,Teenagers,29983
PW1024,Voss,3.55,1.13,Asia,Bottle,Sparkling,7.54,338,Natural Spring,Supermarket,Online,4.8,Children,743
PW1025,Voss,4.2,0.54,Europe,Can,Spring,8.14,312,Filtered,Online,Offline,24.4,Adults,27273
PW1026,Voss,4.46,1.95,Australia,Bottle,Spring,6.96,154,Well,Convenience Store,Offline,13.2,Children,26532
PW1027,Nestle Pure Life,4.52,0.8,Australia,Box,Spring,7.54,209,Natural Spring,Convenience Store,Offline,17.4,Adults,48677
PW1028,Voss,1.42,1.78,Asia,Box,Purified,7.62,360,Rainwater,Wholesale,Online,19.8,Adults,14883
PW1029,Aquafina,2.29,1.06,North America,Box,Mineral,6.3,494,Rainwater,Online,Online,18.8,Children,36011
PW1030,Evian,3.55,0.74,Asia,Bottle,Mineral,7.21,475,Rainwater,Online,Online,17.7,Children,19402
PW1031,Voss,1.32,1.05,Europe,Box,Alkaline,7.24,430,Municipal,Supermarket,Offline,5.8,Elderly,3559
PW1032,Perrier,2.69,1.06,South America,Pouch,Mineral,7.98,469,Municipal,Online,Offline,4.8,Children,10979
PW1033,Nestle Pure Life,2.18,1.01,South America,Can,Sparkling,7.31,98,Natural Spring,Wholesale,Offline,9,Teenagers,33222
PW1034,Evian,1.91,0.75,North America,Box,Mineral,6.16,292,Well,Online,Offline,18.7,Adults,3023
PW1035,Voss,3.18,1.77,Asia,Box,Alkaline,6.97,489,Municipal,Wholesale,Online,13.5,Elderly,31643
PW1036,Nestle Pure Life,0.72,0.88,Europe,Box,Mineral,7.91,134,Rainwater,Online,Offline,12.9,Adults,1335
PW1037,Perrier,1.19,0.94,Africa,Box,Alkaline,6.05,279,Rainwater,Convenience Store,Online,4.3,Children,8582
PW1038,Perrier,1.82,1.05,Australia,Box,Spring,7.75,303,Rainwater,Supermarket,Offline,10.3,Adults,12201
PW1039,Fiji,3.2,0.56,South America,Bottle,Alkaline,8.05,495,Rainwater,Online,Offline,9.1,Adults,12136
PW1040,San Pellegrino,4.06,0.93,Australia,Can,Mineral,8.6,67,Natural Spring,Online,Online,17.8,Children,15211
PW1041,Nestle Pure Life,1.42,0.91,South America,Pouch,Mineral,8.07,323,Filtered,Convenience Store,Offline,22.7,Teenagers,15192
